nome_cliente,valor_inadimplencia,dias_inadimplencia,tipo_risco,regiao
Lorenzo Peixoto,2534.6,174,Alto,Oeste
Fernando Caldeira,480.13,136,Médio,Leste
Rhavi Gomes,1075.75,64,Alto,Leste
Sra. Clarice Novaes,1230.48,60,Médio,Leste
Rafael Marques,2994.71,316,Crítico,Centro
Alice Porto,784.42,83,Médio,Oeste
Ana Julia Freitas,2341.39,99,Crítico,Centro
Alana Ramos,1198.62,224,Alto,Centro
João Guilherme Pinto,4030.13,213,Alto,Leste
Maria Flor Souza,1244.99,161,Médio,Sul
Benício Moraes,2656.33,154,Alto,Sul
Thiago Cardoso,1218.95,26,Médio,Centro
Dr. Matteo Correia,711.81,16,Baixo,Oeste
Bella Martins,637.57,14,Baixo,Oeste
Clara Sá,1206.58,50,Médio,Leste
Luiz Otávio da Luz,416.05,169,Médio,Sul
Sr. Otto Cavalcante,1165.45,41,Médio,Norte
Evelyn Viana,653.87,21,Baixo,Sul
Stella Pimenta,588.03,26,Baixo,Sul
Laís Rezende,405.14,3,Baixo,Centro
Oliver Castro,2591.62,90,Alto,Leste
Srta. Letícia Mendes,1540.89,96,Médio,Leste
Stephany Pereira,4245.95,189,Alto,Sul
Ana Sophia Novaes,804.38,25,Baixo,Centro
Luara Pinto,2140.67,458,Médio,Leste
Liz Costa,1951.94,54,Alto,Sul
Luara Nogueira,3102.86,304,Alto,Centro
Enrico das Neves,392.1,68,Baixo,Norte
Kevin Fonseca,1845.95,159,Médio,Centro
Calebe da Costa,5777.01,383,Crítico,Leste
Srta. Antonella Cunha,1695.09,222,Médio,Oeste
Sr. Luiz Fernando Mendes,4768.37,357,Alto,Sul
Dra. Maria Júlia da Luz,2640.74,156,Alto,Sul
Dr. Cauã Martins,4074.44,92,Crítico,Sul
Maria Liz Porto,1157.32,39,Médio,Sul
Sra. Ana Cecília Machado,2924.51,192,Alto,Centro
Joaquim Cavalcanti,10029.9,275,Crítico,Sul
Augusto Campos,1579.46,33,Médio,Centro
Henry Vasconcelos,1372.01,38,Alto,Norte
Dra. Emanuella da Rocha,4712.63,211,Alto,Oeste
Danilo Moreira,1038.92,6,Médio,Oeste
Lorenzo Ramos,400.7,11,Baixo,Sul
Maria Fernanda Gonçalves,649.98,1,Baixo,Oeste
José Pedro Ribeiro,6358.87,227,Crítico,Sul
Maitê Silva,1695.37,89,Alto,Norte
Laís Fonseca,635.58,2,Baixo,Oeste
Maria Helena Silveira,3413.0,71,Alto,Leste
Carlos Eduardo Ribeiro,362.74,30,Baixo,Oeste
Dr. Ravi Cavalcanti,1773.87,80,Médio,Centro
Liam Campos,4397.41,121,Alto,Oeste
Anna Liz Cunha,20160.0,421,Crítico,Sul
Mariane Gonçalves,302.34,16,Baixo,Sul
Dra. Ana Júlia Melo,342.94,20,Baixo,Leste
Raquel Abreu,680.25,144,Baixo,Centro
Vitor Hugo Andrade,1366.94,40,Médio,Oeste
Valentim Almeida,2761.28,338,Alto,Sul
Olívia Albuquerque,2404.51,203,Alto,Leste
Sabrina Azevedo,344.58,5,Baixo,Norte
Isabel Almeida,1592.03,114,Médio,Leste
Sr. Fernando Casa Grande,481.2,15,Baixo,Norte
Manuela Rodrigues,262.04,10,Baixo,Sul
Davi Miguel Pinto,185.78,4,Baixo,Centro
Laís Rezende,747.88,61,Médio,Centro
Antônio Montenegro,513.43,3,Baixo,Norte
Sra. Alícia Melo,1000.71,80,Médio,Sul
Dra. Olivia Leão,7769.67,120,Crítico,Oeste
Ester Cirino,1369.18,65,Médio,Sul
Júlia da Cruz,23610.7,558,Crítico,Leste
Aurora Camargo,5844.33,222,Crítico,Norte
Henry Gabriel Vasconcelos,452.01,22,Baixo,Oeste
Luiz Gustavo da Rosa,840.35,502,Médio,Centro
Thales Pastor,655.26,50,Baixo,Leste
Isaac Monteiro,309.64,2,Baixo,Centro
Luigi Melo,2464.29,32,Alto,Centro
Henry Mendes,772.9,18,Baixo,Sul
Dr. Enrico Fonseca,453.37,25,Baixo,Leste
Beatriz das Neves,1194.31,187,Alto,Sul
Ísis da Paz,6965.36,265,Crítico,Sul
Luísa da Rosa,1368.83,55,Médio,Centro
José Pedro Sampaio,535.56,18,Baixo,Sul
Sr. Arthur Miguel Teixeira,1076.92,85,Médio,Centro
Davi Lucca Rodrigues,2805.88,34,Alto,Leste
Cecília da Luz,2017.02,74,Médio,Sul
Júlia Fonseca,551.64,8,Baixo,Oeste
Samuel Pinto,5650.0,96,Crítico,Sul
Cecília Albuquerque,1473.12,220,Médio,Norte
Eloah Sá,1000.91,117,Baixo,Sul
Bryan Castro,3394.34,124,Alto,Oeste
Benjamim Silveira,1962.08,210,Alto,Norte
Ayla da Luz,3438.19,43,Alto,Centro
Mateus Sales,421.06,69,Baixo,Oeste
Srta. Manuella Sousa,556.19,76,Baixo,Oeste
Clara Albuquerque,2175.13,106,Alto,Leste
Emanuella da Conceição,4408.12,244,Crítico,Norte
Breno Cirino,661.69,47,Baixo,Leste
Bernardo Cavalcanti,260.85,27,Baixo,Sul
Maria Vitória Cunha,2512.7,110,Alto,Leste
Ana Beatriz da Rocha,566.19,33,Médio,Leste
Erick Novaes,1248.24,63,Médio,Oeste
Mirella Sampaio,589.83,56,Médio,Centro
Benicio Aparecida,4488.94,264,Alto,Leste
Theodoro Nascimento,2602.43,150,Alto,Norte
Alice Cassiano,1520.54,134,Médio,Sul
Dr. Liam Santos,239.24,49,Baixo,Sul
Daniela Araújo,11207.52,252,Crítico,Sul
Maria Isis Araújo,18093.99,399,Crítico,Norte
Dr. Antony Castro,5643.44,100,Crítico,Leste
Pietro Brito,1359.43,33,Médio,Centro
Lorena Nascimento,651.37,42,Baixo,Leste
Alana Costa,3742.14,146,Alto,Centro
Raquel Costa,1165.94,32,Alto,Leste
Júlia Macedo,247.51,14,Baixo,Norte
Allana Cirino,1211.97,176,Alto,Leste
João Miguel Castro,2982.77,216,Alto,Norte
Dra. Maria Isis Sampaio,4841.66,284,Alto,Leste
Josué Peixoto,672.88,117,Médio,Sul
Luiz Fernando Novaes,10408.43,290,Crítico,Sul
Ana Sophia Rocha,2893.78,318,Alto,Centro
Laura Porto,897.31,13,Baixo,Norte
Sarah Melo,1154.36,34,Alto,Leste
Caroline Montenegro,354.49,11,Baixo,Centro
Bella Cardoso,455.82,70,Médio,Oeste
Dr. Luiz Felipe Siqueira,2084.14,58,Alto,Leste
Luiz Felipe da Luz,1725.9,64,Alto,Sul
Erick Souza,1111.74,205,Alto,Norte
Dra. Sabrina Rezende,534.34,97,Médio,Leste
Evelyn Silva,834.89,25,Médio,Centro
Mariah Sampaio,2435.43,243,Alto,Norte
Dr. Arthur Aragão,8472.05,422,Crítico,Sul
Alícia Abreu,852.83,1,Baixo,Sul
Laís Barros,1355.83,19,Médio,Leste
Eloah Farias,807.08,180,Médio,Oeste
Luiza Nunes,748.76,169,Médio,Sul
Srta. Agatha Marques,2719.75,39,Alto,Sul
Nicolas da Mata,3072.03,148,Alto,Oeste
Zoe Martins,4195.09,268,Crítico,Oeste
Gustavo Henrique Sá,1041.97,73,Médio,Oeste
Rael Montenegro,736.74,13,Baixo,Sul
Luiz Miguel Sá,7212.52,190,Crítico,Centro
Sra. Letícia da Paz,5554.0,140,Crítico,Sul
Antonella Costela,838.86,46,Médio,Sul
Alexia Castro,1626.19,296,Alto,Leste
Laís Montenegro,11722.64,162,Crítico,Centro
Clara Cavalcanti,1718.7,9,Médio,Centro
Bento Almeida,1746.76,60,Alto,Oeste
Srta. Ana Vitória Albuquerque,989.86,123,Alto,Sul
Theo Aragão,822.7,57,Médio,Sul
Yuri Dias,162.44,5,Baixo,Oeste
Larissa Andrade,7853.03,151,Crítico,Norte
Gabriel Duarte,3210.18,93,Alto,Centro
Catarina Pinto,10390.76,199,Crítico,Sul
Hellena Souza,2313.72,52,Alto,Centro
Dra. Milena Rios,6214.34,209,Crítico,Norte
Sr. Igor da Mota,2739.89,198,Alto,Sul
Vitor Hugo Vargas,3193.75,42,Crítico,Oeste
Maria Luísa Moreira,3064.86,308,Alto,Centro
Sra. Laura Sousa,1367.3,63,Médio,Sul
Melina Vasconcelos,209.71,18,Baixo,Oeste
Letícia Araújo,2303.78,109,Alto,Norte
Alana Barbosa,1291.41,79,Alto,Oeste
Daniel Monteiro,4844.22,213,Alto,Norte
Sr. José Pedro Cirino,3553.93,125,Alto,Leste
Srta. Laura Vasconcelos,559.61,14,Baixo,Oeste
João Vitor Silva,885.45,40,Médio,Leste
Ana Laura Cavalcante,6246.74,46,Crítico,Oeste
Ana Carolina da Costa,916.85,58,Médio,Norte
Nina Lima,2656.31,40,Alto,Oeste
Sr. Breno da Cunha,2219.8,66,Alto,Oeste
João Miguel Garcia,421.3,3,Baixo,Norte
Pietro Pimenta,761.78,123,Baixo,Sul
Eduardo da Luz,1913.87,79,Médio,Norte
Isaac Freitas,490.06,12,Baixo,Centro
Maysa das Neves,1701.64,57,Médio,Centro
Melina da Cruz,2172.15,173,Alto,Centro
Diogo Albuquerque,3512.46,138,Crítico,Oeste
Milena da Costa,7139.53,1,Crítico,Sul
Maria Isis Pacheco,2872.26,249,Alto,Norte
Murilo Alves,2200.54,163,Alto,Leste
Benjamin Casa Grande,614.54,10,Baixo,Oeste
José Pedro Andrade,506.58,9,Baixo,Sul
Alexandre da Rocha,9627.52,66,Crítico,Centro
Vitória da Cunha,8252.83,187,Crítico,Leste
Clara Nogueira,1071.08,130,Alto,Centro
Luan Cardoso,2214.73,57,Médio,Sul
Dra. Antonella Albuquerque,2977.07,58,Alto,Leste
Benicio Costela,2073.61,115,Alto,Leste
Mathias Monteiro,4124.48,82,Alto,Leste
Davi Lucas Novais,418.0,17,Baixo,Sul
Dr. André Costela,789.12,182,Baixo,Oeste
Sra. Fernanda Vieira,6368.91,166,Crítico,Sul
Yan Fogaça,3508.77,91,Alto,Norte
Carolina Guerra,1850.3,119,Alto,Oeste
Laís da Cruz,517.51,7,Baixo,Norte
Dr. Vinicius Araújo,3380.56,67,Alto,Centro
Mariah Sousa,2629.83,223,Alto,Oeste
Thales Moreira,735.71,19,Baixo,Leste
Ana Liz Ramos,1170.3,9,Médio,Centro
Amanda Castro,878.09,178,Alto,Norte
Arthur Miguel Siqueira,270.8,25,Baixo,Norte
Emanuella Cirino,658.8,1,Baixo,Norte
Mateus Araújo,914.31,8,Médio,Oeste
Maria Luiza Gonçalves,815.86,14,Baixo,Leste
Vicente Azevedo,1220.49,55,Médio,Oeste
Dr. Pedro Lucas Porto,2099.63,196,Alto,Sul
Guilherme Azevedo,2138.68,48,Alto,Oeste
Sr. Noah Viana,9475.3,76,Crítico,Centro
Fernanda Vargas,889.55,98,Médio,Norte
André Camargo,2846.93,60,Crítico,Oeste
Caleb Garcia,793.13,98,Médio,Norte
Bárbara Brito,2227.01,106,Alto,Centro
Olívia da Mata,1370.21,117,Alto,Oeste
Lucas Marques,582.61,59,Médio,Oeste
Agatha da Luz,3765.99,289,Alto,Oeste
Rael Sousa,703.73,50,Baixo,Centro
Ravy Carvalho,415.73,32,Médio,Sul
Arthur Mendes,2053.84,111,Alto,Leste
Yuri Viana,4170.4,117,Alto,Leste
Apollo Pacheco,2986.02,119,Alto,Sul
Julia Castro,2973.05,201,Crítico,Sul
Hellena da Cruz,1070.49,82,Médio,Leste
Amanda Fogaça,1770.27,331,Alto,Leste
Julia Guerra,747.25,60,Médio,Oeste
Marcos Vinicius Rios,414.79,37,Baixo,Centro
Nicole Freitas,15107.59,422,Crítico,Leste
Alana Farias,4191.99,68,Alto,Oeste
Bryan Sá,4654.17,622,Alto,Oeste
Jade Azevedo,15670.81,318,Crítico,Centro
Valentina Lima,5725.6,225,Crítico,Leste
João Sampaio,6703.66,286,Crítico,Centro
Antônio Fernandes,2571.0,35,Alto,Centro
Benjamim Melo,3160.49,310,Alto,Oeste
Cauã Rocha,262.04,3,Baixo,Sul
Dra. Maria Laura Fernandes,3733.46,61,Alto,Oeste
Srta. Luara Viana,377.58,5,Médio,Oeste
Srta. Rebeca Martins,1293.15,42,Médio,Centro
Theodoro Pimenta,515.98,12,Baixo,Sul
Clarice Sousa,917.56,64,Médio,Norte
Maria Clara Fogaça,2621.33,37,Alto,Norte
Emanuella Casa Grande,549.94,112,Médio,Oeste
Diogo Siqueira,3516.16,162,Alto,Oeste
Luiz Henrique Vargas,1266.85,44,Médio,Oeste
Valentim Cavalcanti,1976.26,58,Alto,Centro
Letícia Castro,11996.51,117,Crítico,Norte
Maria Júlia Nascimento,813.33,162,Médio,Centro
Pietro Macedo,207.61,12,Baixo,Centro
Dr. Francisco Rodrigues,4254.68,95,Alto,Centro
Miguel Rodrigues,1469.28,9,Médio,Sul
Maria Júlia Lima,416.74,7,Baixo,Sul
Antônio Mendes,868.06,29,Médio,Leste
Ravi Almeida,2358.99,83,Alto,Sul
Alexandre Peixoto,6325.29,347,Alto,Sul
Joaquim Rodrigues,716.97,18,Baixo,Oeste
Gabriel da Mata,2877.05,275,Alto,Centro
Dr. Alexandre Araújo,1301.57,84,Alto,Norte
Raquel Santos,568.67,8,Baixo,Sul
Milena Campos,435.7,26,Baixo,Oeste
Isabella Gonçalves,245.91,2,Baixo,Oeste
Henry Gabriel Montenegro,2481.2,80,Médio,Leste
Kaique Fernandes,275.63,10,Baixo,Sul
Srta. Julia Pereira,856.29,54,Médio,Sul
Caroline Jesus,2566.41,271,Alto,Oeste
Eloah Aparecida,1252.9,34,Médio,Centro
Benício Cavalcanti,7232.09,238,Crítico,Centro
Dr. Luiz Felipe Peixoto,633.34,19,Baixo,Leste
Ana Luiza da Mota,649.31,44,Médio,Sul
Thiago Pinto,1851.89,117,Alto,Centro
Maria Cecília Siqueira,1465.84,137,Alto,Centro
Emilly Caldeira,202.83,168,Baixo,Oeste
Anna Liz Araújo,575.63,5,Baixo,Sul
Benjamin Rios,10745.02,237,Crítico,Oeste
Caleb Aragão,1942.25,178,Alto,Leste
Ana Cecília Pereira,10920.37,497,Crítico,Sul
José Guerra,388.71,127,Médio,Norte
Ana Julia Sales,7437.78,31,Crítico,Sul
Stella Peixoto,7875.95,100,Crítico,Norte
Sra. Mariah Pires,1288.84,78,Médio,Norte
Vitor Hugo Vargas,205.49,18,Baixo,Sul
Olivia Marques,7032.9,400,Crítico,Oeste
Sr. Arthur Gabriel Porto,4890.13,316,Alto,Norte
Elisa Machado,5892.04,324,Alto,Sul
Gabriel Rocha,1317.14,51,Médio,Oeste
Rafaela Barros,822.93,19,Baixo,Leste
Ana Nogueira,757.54,24,Baixo,Leste
Nina Oliveira,11946.55,263,Crítico,Leste
Ana Vitória Campos,1016.35,257,Médio,Centro
Dante da Conceição,6920.1,246,Crítico,Sul
Maria Sophia da Rosa,4080.01,121,Alto,Leste
Anthony Costa,250.25,17,Baixo,Norte
Enzo Macedo,15311.89,250,Crítico,Sul
Luiz Fernando da Luz,1244.53,85,Médio,Sul
Paulo Lopes,817.25,248,Médio,Oeste
Dr. José Pedro Albuquerque,698.85,69,Baixo,Sul
Maysa Pinto,1369.1,62,Médio,Leste
Eduarda Costa,7760.23,418,Crítico,Oeste
Levi Barbosa,5144.08,413,Crítico,Oeste
Noah Lima,1962.94,58,Alto,Norte
João Lucas Sá,16039.25,379,Crítico,Sul
Daniela Fernandes,1988.23,40,Alto,Leste
Maria Eduarda Fogaça,753.04,1,Baixo,Norte
Maria Helena Lopes,2642.45,139,Alto,Centro
Rebeca Cunha,14144.68,278,Crítico,Oeste
José Pereira,775.37,38,Baixo,Oeste
Letícia Rocha,751.75,1,Baixo,Oeste
Francisco Sales,3216.46,182,Crítico,Sul
Valentina Cavalcante,10772.98,243,Crítico,Oeste
Maria Alice Marques,6802.81,579,Alto,Centro
Alícia Andrade,2220.96,38,Alto,Sul
Dr. André Peixoto,587.81,10,Baixo,Centro
João Lucas Rocha,11173.73,249,Crítico,Centro
Dra. Julia Novais,521.57,37,Médio,Centro
Ravi Lucca Peixoto,2309.86,49,Alto,Sul
Luigi Borges,13482.23,230,Crítico,Sul
Dr. Valentim Carvalho,4724.88,123,Crítico,Leste
João Guilherme Cavalcanti,850.77,57,Médio,Leste
Camila da Luz,4254.94,239,Crítico,Sul
Zoe Cirino,707.59,33,Médio,Oeste
Laura Mendes,410.53,1,Baixo,Centro
Maria Clara Barbosa,530.24,2,Médio,Oeste
Apollo Ribeiro,734.78,40,Baixo,Leste
Maitê Cirino,1129.39,168,Médio,Leste
Dr. Erick Azevedo,6160.15,287,Crítico,Sul
Sr. Isaque Melo,474.24,103,Baixo,Sul
Maria Luísa Monteiro,2064.22,133,Alto,Oeste
Léo Cunha,1479.83,95,Alto,Leste
Isadora Aragão,1152.85,88,Médio,Leste
Pedro Lucas Novaes,2012.7,112,Alto,Leste
Luísa Peixoto,806.52,10,Baixo,Oeste
Augusto Sampaio,2920.0,19,Alto,Leste
Maria Laura Albuquerque,451.37,58,Médio,Oeste
Sra. Clara Ramos,694.08,23,Baixo,Oeste
Ryan Pacheco,7650.52,77,Crítico,Sul
Davi Lucca Cassiano,1987.23,131,Médio,Oeste
Sr. Diego Porto,3494.68,160,Alto,Oeste
Lorenzo Ribeiro,433.7,18,Baixo,Sul
Mathias das Neves,2659.48,266,Alto,Leste
Emanuelly Câmara,242.5,26,Baixo,Sul
Sabrina Cunha,1671.28,18,Médio,Leste
Srta. Sarah Abreu,340.63,19,Baixo,Leste
Josué Albuquerque,4155.23,270,Alto,Sul
Lívia Carvalho,223.49,20,Baixo,Oeste
Murilo Brito,733.43,4,Médio,Sul
Ayla Moreira,3833.26,121,Alto,Sul
Anna Liz Aragão,680.85,45,Médio,Centro
Ester Cunha,1786.93,73,Alto,Sul
Heloísa Macedo,875.83,254,Baixo,Centro
Hellena Cirino,1729.15,42,Alto,Sul
Theo Machado,1659.66,115,Alto,Sul
Vinicius Cardoso,505.35,18,Baixo,Leste
Dra. Milena Alves,4232.15,349,Alto,Sul
Lucas Mendes,1060.14,118,Alto,Leste
Eloah Cassiano,435.98,6,Baixo,Norte
André Cunha,2544.01,164,Alto,Leste
Theodoro Viana,1519.97,218,Alto,Centro
Maria Luísa Nascimento,657.6,79,Baixo,Oeste
Fernando Alves,7042.64,255,Crítico,Sul
Gabriel da Rosa,1329.63,54,Médio,Leste
Benício Azevedo,1001.68,35,Alto,Leste
Sra. Luana Lopes,1831.07,325,Médio,Norte
Srta. Hadassa Cassiano,1976.32,167,Alto,Norte
Emanuel Jesus,5747.4,119,Crítico,Oeste
Kamilly Ferreira,2066.61,216,Alto,Leste
Ravy Cirino,759.77,34,Baixo,Centro
Antonella Leão,4251.72,294,Alto,Sul
Dom Oliveira,1822.98,34,Alto,Norte
Lunna Cirino,910.48,130,Médio,Centro
Cecilia Sousa,1052.56,65,Médio,Oeste
Lavínia Mendes,2862.41,109,Alto,Centro
Dra. Hellena Nogueira,1581.79,114,Alto,Centro
Zoe Marques,6740.91,164,Crítico,Norte
André Viana,1192.45,35,Médio,Oeste
Cecília Cunha,4931.56,179,Crítico,Oeste
Lavínia da Mota,604.21,14,Médio,Norte
Thales Porto,8371.79,215,Crítico,Norte
Dra. Catarina Pacheco,689.22,72,Baixo,Oeste
Maysa Novaes,1270.43,84,Médio,Leste
Sr. Enzo Gabriel Aragão,8324.21,75,Crítico,Oeste
Larissa Aragão,666.09,105,Médio,Oeste
Ana Albuquerque,1753.21,250,Médio,Centro
Camila Casa Grande,982.56,12,Baixo,Oeste
Raquel Cavalcante,1501.16,7,Médio,Centro
Sr. José Pedro Nunes,1240.35,50,Alto,Oeste
Ravy Guerra,4563.4,132,Alto,Leste
Ayla Teixeira,1220.86,36,Médio,Leste
Vitor Hugo Martins,6168.03,15,Crítico,Oeste
Brayan Nascimento,2971.13,126,Alto,Leste
Dra. Allana Novais,2066.69,42,Alto,Leste
Hadassa da Costa,604.63,136,Baixo,Oeste
Antônio Melo,16138.62,250,Crítico,Sul
Heloísa Macedo,304.69,134,Baixo,Oeste
Ana Laura Sá,3411.98,337,Alto,Sul
Sra. Maya da Rocha,4272.05,36,Alto,Norte
Lara Moura,217.81,17,Baixo,Centro
Dr. Apollo Santos,595.07,3,Baixo,Oeste
Marcelo Almeida,847.89,15,Baixo,Sul
Alice Carvalho,1777.49,221,Médio,Centro
Lara Pacheco,858.89,224,Médio,Centro
Manuella Moraes,4591.37,171,Alto,Leste
Maysa Vieira,405.9,30,Baixo,Centro
Asafe Machado,8989.14,58,Crítico,Leste
Dra. Cecilia Barbosa,1873.07,11,Médio,Oeste
Augusto Rezende,697.97,78,Médio,Sul
Isaac Monteiro,512.12,82,Baixo,Sul
Srta. Manuela da Mota,873.95,169,Médio,Sul
Luigi Farias,1963.38,80,Crítico,Sul
Aylla da Rosa,713.25,66,Baixo,Oeste
Valentina Ribeiro,10924.06,322,Crítico,Sul
Vinícius Porto,1451.55,60,Médio,Norte
Luan Pinto,8565.6,80,Crítico,Leste
Sr. Leonardo Lima,730.06,25,Baixo,Sul
Maria Liz Araújo,1304.47,139,Médio,Sul
Maya da Mata,2454.42,147,Alto,Oeste
Matteo Lopes,2814.32,376,Alto,Sul
Beatriz Ribeiro,11232.31,128,Crítico,Sul
Srta. Nina Pinto,2899.73,159,Crítico,Norte
Dr. Josué Novais,673.27,30,Baixo,Sul
Nicole Casa Grande,2484.53,12,Alto,Sul
Yan Moura,2225.62,404,Alto,Leste
Marcos Vinicius Cunha,2325.59,62,Alto,Norte
Raquel Aparecida,8630.69,65,Crítico,Oeste
Fernanda Freitas,1572.74,270,Alto,Centro
Luiz Felipe Cavalcante,1092.32,80,Médio,Norte
Yasmin Cavalcante,591.2,144,Médio,Sul
Dra. Heloísa Ribeiro,1373.72,71,Médio,Sul
Dra. Valentina Cirino,456.83,13,Baixo,Oeste
Sra. Mariana Moraes,1480.18,60,Alto,Leste
Sra. Luana Ribeiro,167.93,8,Baixo,Oeste
Davi Luiz da Costa,1943.24,83,Alto,Sul
Luna Novaes,677.25,46,Médio,Centro
Vitor Hugo Freitas,2509.18,45,Alto,Sul
Pedro da Mota,283.94,37,Baixo,Norte
Thales Cirino,626.48,17,Baixo,Leste
Sr. Yago Mendes,666.73,170,Baixo,Leste
Dante Cirino,6099.96,262,Crítico,Sul
Calebe Guerra,2835.1,33,Alto,Centro
Melina Santos,1261.97,51,Alto,Centro
Gabrielly das Neves,703.34,6,Baixo,Sul
Ágatha Rios,974.32,82,Médio,Sul
Isaac Lopes,1977.0,52,Alto,Oeste
Isabela Santos,316.96,6,Baixo,Sul
Liz Moraes,257.86,14,Baixo,Sul
Gustavo Henrique Marques,1085.02,79,Médio,Sul
Hadassa Macedo,4868.62,225,Alto,Centro
Felipe da Cunha,2623.1,241,Alto,Oeste
Mathias Jesus,2154.76,60,Alto,Sul
Valentina Ramos,1204.71,73,Médio,Oeste
Daniel Silva,966.26,101,Médio,Centro
João Pedro Mendes,1290.82,90,Médio,Centro
Sr. José Miguel Guerra,8459.69,730,Alto,Leste
Letícia Caldeira,630.75,29,Baixo,Leste
Theo Montenegro,1162.86,159,Médio,Sul
Henrique Moura,598.86,13,Baixo,Norte
Sra. Isis Moraes,395.9,15,Baixo,Centro
Raquel Sampaio,445.17,28,Baixo,Sul
Otto Monteiro,2491.18,111,Crítico,Leste
Pedro Miguel Almeida,302.23,30,Baixo,Centro
José Miguel da Rocha,1507.87,138,Alto,Sul
Valentina Mendes,224.82,1,Baixo,Norte
